atalk-android,393,4,2258,0,250192,0,817446,0,283,1,3,0,2,0,0,0,0,0,0,0,0,0,30,12,18,156,66,396,0,0,0,0,0,1,1,1,1,0,1,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,6,0,189,1212,345,3,207,0,21,240,21,18,0,78,12,0,0,0,0,0,0,0,0,27,0,-,-,-,-,-,-,75,0,126,0,0,0,0,0,0,3,270,171,0,42,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,1,0,0,8,0,32,0,0,3,0,0,4,9,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,1,891,52,17.134615,807,84,759,14,117,1,3.7777777,Communication,5097,5.0,1765,148,0,6,84,4,54,org.atalk.android,1596018222,15,87,231,649,179,69,4,61,87,0,0,0,5,5,1802089
authorizer,27,11,183,13,28286,1875,70476,3738,13,2,3,0,2,0,0,0,0,0,0,0,0,0,15,2,19,2,22,41,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,74,5,0,20,142,24,6,14,0,1,7,4,1,0,6,0,0,0,0,0,0,0,0,3,9,0,-,-,-,-,-,-,13,0,27,0,0,0,0,1,0,0,2,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,9,0,0,0,0,0,0,7,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,113,7,16.142857,96,17,79,0,19,15,0,Tools,827,5.0,224,23,0,4,1,10,8,net.tjado.passwdsafe,1596120766,3,72,34,723,26,4,2,15,8,0,0,0,3,2,1801631
c-beam-droid,26,10,91,2,8255,24,26334,84,15,2,2,0,0,0,0,0,0,0,0,0,0,0,8,1,4,1,14,34,0,0,0,0,1,1,1,1,0,0,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,6,0,30,30,41,0,0,0,14,3,1,0,0,0,4,0,0,0,0,0,0,0,0,4,0,-,-,-,-,-,-,7,0,4,0,0,0,0,0,0,0,38,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,91,23,3.9565217,73,18,79,1,11,0,4.875,Personalization,1215,5.0,473,10,0,5,3,0,2,org.c_base.c_beam,1595888021,11,98,149,967,114,13,4,70,42,0,0,0,11,9,1803993
calculator-notification,4,0,5,0,423,0,1092,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,19,12,5,2,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,38,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,54,54,0,54,0,0,0,4.3055553,Tools,1700,4.1,13,6,0,0,6,0,0,com.tananaev.calculator,1596024037,1,1,3,19,3,0,0,1,1,0,0,0,1,0,1800628
calliope-android-app,22,5,47,1,6333,8,14574,0,13,1,3,0,0,0,0,0,0,0,0,0,0,0,4,2,5,26,10,21,0,0,0,0,0,1,1,1,0,0,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,28,6,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,15,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,9,5.7777777,47,5,51,0,0,1,2.8235295,Education,3381,4.3,108,18,0,0,18,0,0,cc.calliope.mini,1596287268,6,120,522,1027,443,28,0,322,166,0,0,0,4,2,1800407
contentblocker,20,10,62,2,5185,17,20748,42,1,2,2,0,0,0,0,0,0,0,0,0,0,0,39,1,34,45,45,26,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,2,81,11,0,5,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-,-,-,-,-,-,3,0,2,0,0,0,0,0,0,0,12,46,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,111,8,13.875,100,11,106,4,1,0,4.420058,Tools,6782168,5.0,207,23,0,0,21,0,2,com.adguard.android.contentblocker,1595971201,2,6,23,79,21,13,0,6,0,0,1,0,1,2,1800202
darkcroc-android-theme,5,0,6,0,310,0,840,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,59,1,103,90,129,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0,4.25,Personalization,18377,VARY,10,0,0,0,0,0,0,de.spiritcroc.darkcroc.substratum,1595871357,2,6,11,48,11,1,0,2,6,0,0,0,2,0,1800445
dash-wallet,17,684,29,116,2259,65299,9660,1890,7,49,6,0,343,0,0,0,0,0,0,0,0,0,107,5,66,332,192,80,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,111,0,0,22,128,20,2,0,0,0,30,6,0,0,1,0,0,0,0,0,0,0,0,1,2,0,-,-,-,-,-,-,8,0,16,0,0,0,0,0,0,0,50,49,0,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,203,1,203,195,8,183,3,17,0,4,Finance,352399,4.4,732,20,0,0,16,0,4,de.schildbach.wallet.integration.sample,1595986579,2,5,2,40,2,0,0,2,0,0,0,0,0,0,1803512
defaultdarktheme-oms,5,0,5,0,310,0,798,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,97,1,149,280,185,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0,2.7142856,Personalization,369985,7.0,5,0,0,0,0,0,0,de.spiritcroc.defaultdarktheme_oms,1596148729,2,19,31,147,30,0,0,9,21,0,0,0,1,0,1803921
democracy-client,330,1237,957,116,80548,13805,306222,47208,146,35,39,0,4,0,0,0,16,0,19,0,0,0,100,3,13,3,120,7,0,0,0,0,0,1,1,1,1,1,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,8,0,0,4,0,0,2,19,4,0,8,0,0,0,3,7,0,1,1,1,1,1,0,0,0,0,1,5,5,0,4,4,0,1,0,2,2,0,5,0,1,0,0,0,105,2,52.5,12,93,75,20,9,1,4.3846154,Education,84866,4.1,8,0,0,0,0,0,0,com.sha256example,1596225639,2,15,14,114,8,2,1,5,2,0,0,0,2,2,1802110
diaguard,102,41,408,46,35424,2402,100128,7308,94,25,3,0,2,0,0,0,0,0,0,0,0,0,16,1,22,28,35,64,0,0,0,0,0,1,1,1,1,1,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,94,3,0,0,99,7,0,0,0,0,45,4,0,0,5,0,0,0,0,0,0,0,0,0,1,0,-,-,-,-,-,1,52,0,19,0,0,0,0,0,0,0,37,56,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3,0,0,4,0,2,0,0,2,0,0,0,8,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,256,15,17.066668,200,56,213,11,18,14,4.48,Medical,20572,4.1,196,3,0,3,0,0,0,com.faltenreich.diaguard,1596214513,5,151,219,1334,203,46,0,125,42,0,0,0,3,3,1801303
diceware-pass-gen,4,10,10,2,970,17,2142,42,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,6,0,6,7,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,36,3,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,-,-,-,-,-,-,6,0,0,0,0,0,0,0,0,0,9,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,6.6666665,20,0,20,0,0,0,4.8636365,Tools,2429,4.0.3,24,0,0,0,0,0,0,com.aptasystems.dicewarepasswordgenerator,1595664486,4,45,29,195,21,0,0,6,13,0,8,0,1,1,1801789
dokuwikiandroid,9,18,51,19,4075,1044,11004,2814,7,6,2,0,2,0,0,0,0,0,0,0,0,0,2,1,4,14,6,7,0,0,0,0,1,0,0,0,0,0,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,0,3,0,0,0,3.4285715,Tools,940,4.0.3,62,1,0,0,0,0,1,com.fabienli.dokuwiki,1595840087,4,42,53,153,46,8,1,28,11,0,0,0,4,1,1800637
download-navi,32,26,141,16,17189,1793,55776,3822,29,8,2,0,3,0,0,0,0,0,0,0,0,0,26,1,8,75,40,35,0,0,0,0,0,1,1,1,1,1,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,23,48,0,0,6,0,0,8,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,20,0,15,0,0,0,0,0,0,0,34,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,97,12,8.083333,87,10,79,1,14,3,3.93,Tools,66500,4.4,85,2,0,1,1,0,0,com.tachibana.downloader,1596203363,7,188,896,1532,694,58,3,286,537,0,4,0,4,4,1802502
dsaassistant,5,6,7,6,1585,164,1764,504,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,5,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,0,0,36,25,0,0,0,0,12,0,7,0,2,0,0,0,0,0,0,0,0,0,1,0,-,-,-,-,-,-,12,0,14,0,0,0,0,0,0,0,24,41,0,73,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,197,7,28.142857,190,7,170,13,14,0,4.3636365,Entertainment,2748,4.0.3,156,4,0,0,0,4,0,eu.roggstar.luigithehunter.dsaassistent,1595856999,8,54,127,322,84,16,0,54,23,13,13,0,3,5,1800465
exodus-android-app,10,12,21,2,2398,24,6006,84,7,2,2,0,0,0,0,0,0,0,0,0,0,0,8,1,17,21,11,9,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,55,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,6,29,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,64,1,64,61,3,61,0,0,3,4.29,Tools,88362,4.2,31,4,0,0,4,0,0,org.eu.exodus_privacy.exodusprivacy,1595886169,1,7,10,31,8,5,0,1,2,0,0,0,1,1,1801087
fediphoto,3,2,9,0,1680,0,2772,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,6,1,1,2,10,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-,-,-,-,-,-,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1.8,8,1,5,0,4,0,0,Social,8,8.0,30,0,0,0,0,0,0,com.fediphoto,1595713268,4,34,39,126,33,8,0,4,17,0,2,0,5,3,1800746
flashcards,4,12,14,2,1360,27,3654,84,2,2,2,0,2,0,0,0,0,0,0,0,0,0,2,1,2,5,5,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,1,0,9,29,5,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,-,-,-,-,-,-,1,0,0,0,0,0,0,0,0,0,10,13,1,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,11.25,45,0,45,0,0,0,0,Education,74,5.0,51,0,0,0,0,0,0,com.quchen.flashcard,1596210875,4,100,40,652,32,4,2,21,7,0,0,0,4,2,1800479
funktrainer,7,2,23,1,2728,8,9660,42,5,1,2,0,0,0,0,0,0,0,0,0,0,0,4,1,5,3,7,16,0,0,0,0,1,1,1,1,0,0,0,1,1,1,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,2,35,6,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,4,0,-,-,-,-,-,-,0,0,1,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,1.4444444,10,3,12,0,1,0,4.5636363,Education,7039,4.0,6,0,0,0,0,0,0,de.hosenhasser.funktrainer,1595974917,9,154,35,631,32,2,0,9,17,0,2,0,3,2,1803379
