app,AL-TotalOfIssues,AL-TotalOfAccessibilityIssues,AL-GetContentDescriptionOverride,AL-ClickableViewAccessibility,AL-ContentDescription,AL-KeyboardInaccessibleWidget,AL-LabelFor
10000sentences,105,5,0,0,1,0,4
ActivityDiary,93,2,0,0,2,0,5
Aegis,191,23,0,0,23,0,7
AnLinux-Adfree,83,0,0,0,23,0,7
Android-GPSd-Client,16,0,0,0,23,0,7
AndroidNetworkTools,17,0,0,0,23,0,7
AndroidPlanisphere,8,1,0,1,23,0,7
AppLock,176,22,0,2,44,0,7
ArchPackages,7,0,0,2,44,0,7
Authorizer,224,23,0,6,45,10,15
Calliope-Android-App,108,18,0,6,63,10,15
ContentBlocker,207,23,0,6,84,10,17
DSAAssistant,156,4,0,6,84,14,17
DarkCroc-Android-theme,10,0,0,6,84,14,17
DefaultDarkTheme-oms,5,0,0,6,84,14,17
Diaguard,196,3,0,9,84,14,17
DokuwikiAndroid,62,1,0,9,84,14,18
FediPhoto,30,0,0,9,84,14,18
GetMiTokens,13,0,0,9,84,14,18
Getoffyourphone,118,1,0,9,85,14,18
Goodtime,74,9,0,12,89,14,20
Hauk,141,0,0,12,89,14,20
LDAP-Sync,109,5,0,12,90,16,22
LTECleanerFOSS,36,0,0,12,90,16,22
Light-Android-Launcher,13,2,0,12,91,17,22
MBEStyle,747,8,0,12,98,18,22
Morse,77,5,0,17,98,18,22
Notepad,64,8,0,21,99,21,22
OSMDashboard,79,0,0,21,99,21,22
OpenDNSUpdater,92,0,0,21,99,21,22
OpenPods,23,0,0,21,99,21,22
Paintroid,0,0,0,21,99,21,22
PdfViewer,69,1,0,21,100,21,22
Phonograph,457,21,0,27,100,36,22
PilferShushJammer,60,0,0,27,100,36,22
Piwigo-Android,133,2,0,27,100,36,24
PresencePublisher,1,0,0,27,100,36,24
RSAndroidApp,325,10,0,27,106,36,28
RedReader,561,21,0,36,112,37,33
SecondScreen,115,8,0,36,117,38,35
Shelter,33,2,0,36,118,39,35
SleepyWifi,33,0,0,36,118,39,35
SumatoraDictionary,93,1,0,36,118,40,35
TEdit,471,62,0,40,173,41,37
TowerCollector,105,30,0,40,173,71,37
UnicodePad,23,6,0,45,173,71,38
WeatherRadar,6,0,0,45,173,71,38
World-Scribe,176,24,0,45,180,82,44
YalpStore,358,14,0,45,194,82,44
aelf-dailyreadings,72,2,0,47,194,82,44
androdns,105,3,0,47,195,82,46
android-gotify,38,2,0,47,197,82,46
atalk-android,1765,148,0,53,281,86,100
c-beam-droid,473,10,0,58,284,86,102
calculator-notification,13,6,0,58,290,86,102
dash-wallet,732,20,0,58,306,86,106
democracy-client,8,0,0,58,306,86,106
diceware-pass-gen,24,0,0,58,306,86,106
disaster-radio-android,12,0,0,58,306,86,106
download-navi,85,2,0,59,307,86,106
essential-launcher,83,0,0,59,307,86,106
exodus-android-app,31,4,0,59,311,86,106
flashcards,51,0,0,59,311,86,106
funktrainer,6,0,0,59,311,86,106
habpanelviewer,48,2,0,60,312,86,106
hacs,74,3,0,60,315,86,106
heb12-mobile,13,0,0,60,315,86,106
helsinki-timetables,178,6,0,63,318,86,106
hu-eduroam,101,14,0,63,318,86,120
huewidgets,3,0,0,63,318,86,120
kboard,478,0,0,63,318,86,120
lepsi-rozvrh,58,6,0,63,324,86,120
lttrs-android,46,20,0,63,344,86,120
manglish,28,1,0,63,345,86,120
mediclog,74,20,0,63,353,86,132
moneywallet,1316,11,0,69,358,86,132
motioneye-client,116,13,0,69,370,87,132
mundraub-android,507,20,0,69,378,93,138
mynotes,24,3,0,69,381,93,138
onpc,84,7,0,72,384,94,138
opensudoku,1554,13,0,75,390,94,142
osmtracker-android,281,5,0,75,391,94,146
phyphox-android,232,20,0,78,403,96,149
pin,51,4,0,79,405,97,149
planes,106,3,0,82,405,97,149
privacy-friendly-2048,578,68,0,91,464,97,149
privacy-friendly-boardgame-clock,296,26,0,92,488,97,150
privacy-friendly-circuit-training-exercises,688,41,0,93,522,103,150
privacy-friendly-dame,145,10,0,93,532,103,150
privacy-friendly-finance-manager,128,24,0,101,546,103,152
privacy-friendly-food-tracker,250,16,0,103,560,103,152
privacy-friendly-interval-timer,375,38,0,104,586,108,158
privacy-friendly-minesweeper,98,18,0,104,604,108,158
privacy-friendly-wifi-manager,79,10,0,106,611,108,159
pslab-android,1033,97,0,109,658,113,201
quickref,27,3,0,109,660,114,201
rxdroid,641,23,0,110,679,116,202
safeprice,6,0,0,110,679,116,202
sdbviewer,14,0,0,110,679,116,202
secure-quick-reliable-login,329,28,0,110,707,116,202
selfnet-wificonfig,15,0,0,110,707,116,202
simple-keyboard,300,2,0,112,707,116,202
simply-pace,18,1,0,112,708,116,202
sine-android,120,10,0,116,714,116,202
siteswap_generator,140,18,0,116,714,116,220
syncthing-android-fdroid,0,0,0,116,714,116,220
termbot,183,19,0,122,715,116,232
todoagenda,279,1,0,122,715,116,233
trekarta,374,59,0,123,769,120,233
video-transcoder,53,7,0,123,774,120,235
volume_control_android,37,3,0,123,776,120,236
wifisetup,26,0,0,123,776,120,236
wonderdroid-x,107,1,0,124,776,120,236
ykDroid,8,0,0,124,776,120,236
your-local-weather,760,43,0,147,789,120,243